task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
115	4b/cc4d90	93891618	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (CIOIN12651)	COMPLETED	0	2024-01-23 15:15:05.806	11h 38m 10s	1h 10m 33s	1273.5%	68.7 GB	135.4 GB	265.9 KB	71.4 KB
86	8f/b97d16	93891619	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (CEBIM38566)	COMPLETED	0	2024-01-23 15:15:07.050	11h 47m 29s	1h 7m 10s	1324.1%	68.7 GB	135.4 GB	265.4 KB	237.1 KB
139	86/d1c421	93891620	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (CYNSE02527)	COMPLETED	0	2024-01-23 15:15:08.197	11h 47m 28s	1h 5m 45s	1384.8%	68.7 GB	135.4 GB	265.3 KB	71.2 KB
97	60/d77bf7	93891624	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (CHICK44071)	COMPLETED	0	2024-01-23 15:15:11.515	11h 47m 44s	1h 5m 59s	1372.4%	68.8 GB	135.4 GB	265.3 KB	244.4 KB
381	be/6e38a1	93898873	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (SALSA77450)	COMPLETED	0	2024-01-24 03:02:36.928	39s	149ms	66.2%	2.8 MB	34.7 MB	97.1 KB	900 B
405	89/9b514d	93898874	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SALMN07287)	COMPLETED	0	2024-01-24 03:02:38.248	37.8s	1s	92.5%	10.6 MB	51.3 MB	10.1 MB	641 B
352	47/09dc9e	93898878	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (PONAB35815)	COMPLETED	0	2024-01-24 03:03:18.132	7.8s	1.3s	102.4%	50.6 MB	311.1 MB	10.1 MB	633 B
145	a7/7f01e9	93891629	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (DANRE43878)	COMPLETED	0	2024-01-23 15:15:16.093	12h 52m 50s	1h 14m 12s	1233.7%	68.7 GB	135.4 GB	266.7 KB	101.9 KB
416	0d/66aa62	93898956	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (TAEGU03677)	COMPLETED	0	2024-01-24 04:08:07.231	43.9s	166ms	60.1%	2.8 MB	34.7 MB	97.2 KB	900 B
148	a1/b1c530	93891631	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (DASNO05028)	COMPLETED	0	2024-01-23 15:15:18.223	12h 54m 53s	1h 7m 58s	1361.9%	68.9 GB	135.4 GB	265.4 KB	237.1 KB
108	20/bd2038	93891638	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (CHLSB03494)	COMPLETED	0	2024-01-23 15:15:24.442	12h 56m 52s	1h 8m 19s	1375.5%	68.7 GB	135.4 GB	265.3 KB	237.1 KB
418	51/fd619c	93898961	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SARHA00912)	COMPLETED	0	2024-01-24 04:12:17.141	9s	1s	92.1%	9.8 MB	50.7 MB	10.1 MB	641 B
402	b0/5e4d98	93898963	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (SPHPU07491)	COMPLETED	0	2024-01-24 04:12:27.120	14s	119ms	45.5%	3 MB	35.7 MB	98.4 KB	906 B
427	c6/717dd9	93898964	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (URSMA08275)	COMPLETED	0	2024-01-24 04:12:42.189	13.9s	162ms	65.9%	1.5 MB	19.6 MB	97.2 KB	899 B
424	ca/43ca80	93898965	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (TYTAL35558)	COMPLETED	0	2024-01-24 04:12:57.105	14s	117ms	46.4%	3 MB	35.7 MB	98.3 KB	906 B
153	61/25fe03	93891637	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (ECHNA02278)	COMPLETED	0	2024-01-23 15:15:23.226	12h 57m 53s	1h 10m 13s	1310.1%	68.7 GB	135.4 GB	265.4 KB	101.4 KB
417	07/b02555	93898966	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (TAKRU38294)	COMPLETED	0	2024-01-24 04:13:12.169	14s	156ms	62.9%	2.8 MB	34.7 MB	97.2 KB	900 B
425	ab/ad758d	93898967	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (URSAM27767)	COMPLETED	0	2024-01-24 04:13:17.152	9s	148ms	49.0%	2.9 MB	35.2 MB	96.6 KB	893 B
419	23/d08117	93898968	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SCOMX02793)	COMPLETED	0	2024-01-24 04:13:27.192	13.9s	1.3s	101.6%	50.1 MB	306.1 MB	10.1 MB	633 B
433	18/249e58	93898969	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SPHPU07491)	COMPLETED	0	2024-01-24 04:13:28.280	12.9s	1.3s	94.0%	8.5 MB	44 MB	10.1 MB	629 B
441	45/bba6f0	93898973	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (VULVU34707)	COMPLETED	0	2024-01-24 04:13:42.118	14s	140ms	45.2%	2.9 MB	35.2 MB	96.5 KB	893 B
